playlist,track_id,track_name,artist,album,duration_ms,release_date,popularity
Mal🤍,6Yj4fvscbv7KTtWjVRHueP,Karimizhi,V.Devananth,Meesamadhavan (Original Motion Picture Soundtrack),303066,2002-07-19,0
Mal🤍,4gNgXh0wjKd1OI1b7DOgoP,Pachaopanamthathe - Male Version,K. J. Yesudas,Nottam (Original Motion Picture Soundtrack),238066,2005-07-03,0
Mal🤍,4Hvf9xIeJWp5p9FkJerQhN,Malare,Vijay Yesudas,Premam,316419,2015-03-25,0
Mal🤍,59oAJRA0zzLzl9AXa1R6zh,"Jeevamshamayi (From ""Theevandi"")",K. S. Harisankar,"Jeevamshamayi (From ""Theevandi"")",323179,2018-04-06,0
Mal🤍,6WwyJN6PQ0ptirc0dU4RZM,Poomaram,Faisal Razi,Poomaram,202844,2016-11-21,0
Mal🤍,0UgyP9v1xzTCb67BRQCEV6,Neeyilla Neram Duet,Sooraj S. Kurup,LUCA,239018,2019-06-10,0
Mal🤍,3QRSs8nzHXXvcQjdnx0CsJ,Kudukku,Shaan Rahman,Love Action Drama,157609,2019-09-03,0
Mal🤍,3rwIts9ls8HrOVbawWXmF2,Cherathukal,"Sithara Krishnakumar,Sushin Shyam",Kumbalangi Nights (Original Motion Picture Soundtrack),221370,2019-02-05,0
Mal🤍,0aM2m2JjYGURoVZ7L5lsiy,Chimmi Chimmi,Manjari,Urumi (Original Motion Picture Soundtrack),164213,2011-07-01,0
Mal🤍,4lrKVSLsKc7R8ggs1SX08n,Aaranne Aaranne,Job Kurian,Urumi (Original Motion Picture Soundtrack),259239,2011-07-01,0
Mal🤍,1nVfKKeiNFWGjCerBuQgGD,"Maangalyam - From ""Bangalore Days""",Gopi Sundar,Bangalore Days,232703,2014-05-12,0
Mal🤍,3sv34YWhVo15mL7kV6Kaq6,"Ente Kannil Ninakkaai - From ""Bangalore Days""",Nazriya Nazim,Bangalore Days,317095,2014-05-12,0
Mal🤍,7k0nYjFs0hwlmbQO1DgyUm,Kaathirunnu,Shreya Ghoshal,Ennu Ninte Moideen (Original Motion Picture Soundtrack),260746,2015-07-17,0
Mal🤍,3pVxyBO8MlMdmfOTM9i4yx,Aadharanjali,Sushin Shyam,Romancham,149278,2023-02-17,0
Mal🤍,43K9FkL7gfLxLm69Da1UMF,Vathilil,Haricharan,Ustad Hotel (Original Motion Picture Soundtrack),369893,2012-07-26,0
Mal🤍,5M3GTHCnzxvUmEhjAh8tT1,Athmave Poo,Sushin Shyam,"Athmave Poo (From ""Romancham"")",216976,2022-10-09,0
Mal🤍,0x1Mjr2qxB51yFXZg7sW91,Kaikkottum Kandittilla,Shaan Rahman,Oru Vadakkan Selfie,193750,2015-02-16,0
Mal🤍,5cCHghizMQs3BSFswuILQt,Enne Thallendammaava,Vineeth Sreenivasan,Oru Vadakkan Selfie,199418,2015-02-16,0
Mal🤍,0BCaEJQFk94ushm4Jc97Vo,"Nee Himamazhayayi - From ""Edakkad Battalion 06""",Kailas,"Nee Himamazhayayi (From ""Edakkad Battalion 06"")",304684,2019-09-13,0
Mal🤍,4VTwfa72dGN8sZ48y7hnfD,"Sachin, I Love You",Vishnu Vijay,Premalu (Original Soundtrack),38624,2024-04-05,0
Mal🤍,1yjyTO6GFmleMX6lKuUj9B,"Odenda Odenda (Mash Up) - From ""Oru Adaar Love""",Shaan Rahman,"Odenda Odenda (Mash Up) [From ""Oru Adaar Love""]",296525,2019-02-11,0
Mal🤍,5b7Px47PuvYFg2wjgymcRH,"Akale - From ""9 (Nine) Malayalam""",Shaan Rahman,"Akale [From ""9 (Nine) Malayalam""]",247886,2019-01-28,0
Mal🤍,1J3twcdCruJqB86PgaVc8s,Naadan Vibe,Ribin Richard,Naadan Vibe,173714,2020-06-11,0
Mal🤍,1h819b9tDPeqf9oKltPQ2Q,Aadharanjali,Sushin Shyam,"Aadharanjali (From ""Romancham"")",149278,2022-10-02,0
Mal🤍,2n46SeXId7o9WvXTFgRO8B,Entammede Jimikki Kammal,Vineeth Sreenivasan,Velipadinte Pusthakam (Original Motion Picture Soundtrack),201600,2017-07-27,0
Mal🤍,6DCWVyJ3uE3xxTg2Wp60Aj,Rasathi,Shaan Rahman,Aravindante Athidhikal,238173,2018-04-12,0
Mal🤍,1GcMVclJHbwwbGC6zBc2bJ,"Venmegham - From ""2018""",Nobin Paul,2018 (Original Motion Picture Soundtrack),195513,2023-05-09,0
Mal🤍,6N0Z9weSdoXUzL0wbqQD4h,Chekuthan (Reprise),Ribin Richard,Chekuthan (Reprise),100816,2021-09-01,0
Mal🤍,554RItg5afQv3ODGQMT29x,"Kalapakkaara (From ""King of Kotha"")",Jakes Bejoy,"Kalapakkaara (From ""King of Kotha"")",251999,2023-07-28,0
Mal🤍,28x6WpVq1ty4dPDeqK0zPO,Galatta,Sushin Shyam,Aavesham (Original Motion Picture Soundtrack),130018,2024-04-19,0
Mal🤍,4POXo4IBs74MRjBB5NctbP,KAAYI,BABY JEAN,KAAYI,188041,2024-01-02,0
